stops_id,tempo libero,"dormire, mangiare e altra cura della persona",istruzione e formazione,lavoro retribuito
11225,98,67,3,8
11194,148,148,6,10
11176,139,96,5,29
11171,103,84,4,18
10855,50,56,2,10
10848,44,40,1,9
10824,70,49,1,6
10820,68,42,1,8
10560,50,34,0,5
10556,46,23,0,7
10548,40,25,0,6
10540,39,22,0,3
10341,16,13,0,0
10336,4,7,0,0
10205,8,5,0,1
10200,7,4,0,1
12984,10,9,0,1
13281,8,2,0,0
13284,9,2,0,0
13283,11,5,0,0
13285,8,10,0,0
13286,4,8,0,1
13149,25,13,0,4
13296,55,21,0,7
13752,54,22,0,6
17689,56,23,0,8
13289,46,22,1,8
13290,27,10,0,3
13291,1,0,0,0
13292,0,0,0,0
13293,3,4,0,1
13294,8,8,0,3
13295,11,1,0,6
10214,8,4,0,5
19825,9,1,0,0
15852,2,0,0,0
15939,2,0,0,0
13963,2,1,0,0
13964,15,12,0,2
15853,30,15,0,2
13626,8,7,0,1
13627,20,10,0,1
13657,17,14,0,1
15910,1,2,2,1
15900,8,2,2,2
13683,10,2,2,3
15122,6,6,2,3
15957,39,18,2,2
14029,34,17,2,2
14030,39,18,1,1
14031,60,28,0,0
14032,58,24,0,1
13524,75,36,0,2
13600,43,26,0,3
13932,73,30,0,9
13933,64,22,0,6
13934,46,15,0,4
13853,17,8,0,3
13935,0,3,0,0
13936,1,1,0,0
13937,5,0,0,0
13938,2,0,0,0
13939,2,0,0,0
13940,15,11,1,1
13941,52,21,2,6
13942,28,14,0,2
14999,16,8,0,0
17004,7,1,2,0
14551,2,1,1,0
13880,1,0,0,0
17926,1,0,0,0
13327,0,1,0,0
17722,0,2,0,9
13328,1,3,0,9
13329,5,5,2,7
13330,5,3,2,0
13331,4,2,2,0
10188,4,1,0,3
10041,1,1,0,0
10038,1,0,0,0
10036,0,0,0,0
10043,0,0,0,0
15157,0,0,0,0
10185,1,2,0,0
10183,2,2,0,0
10180,1,0,0,0
10174,1,0,0,0
10071,0,0,0,0
10074,1,1,0,0
10076,2,4,0,0
18457,1,4,0,0
10254,2,2,0,1
17531,3,3,0,1
16999,6,2,0,0
10261,5,3,1,1
10389,3,3,2,0
10393,3,3,1,0
10404,4,5,0,0
10416,17,13,0,1
10424,30,20,0,1
10614,23,17,0,0
10623,24,14,0,3
10592,31,29,0,4
10585,44,41,0,6
15426,32,28,1,6
15427,37,34,1,7
12285,26,39,1,7
12004,14,13,0,5
12006,10,5,0,2
12002,1,0,0,0
12001,0,0,0,0
11998,7,0,0,0
11994,11,2,0,1
11687,6,3,0,1
17334,7,1,0,0
17335,6,2,0,0
11689,7,7,0,1
11693,5,6,0,0
11692,4,6,0,0
11698,4,5,0,0
11695,0,0,0,0
11677,8,1,0,0
11381,20,5,1,0
16792,27,15,2,4
13137,10,3,3,1
11049,10,3,3,0
11054,11,3,2,0
11052,8,2,1,0
11053,8,6,1,0
13312,9,6,1,0
11387,2,5,0,0
17437,2,3,0,0
17438,2,5,0,0
17440,6,5,1,0
17439,2,5,0,0
10323,3,3,0,0
10471,1,1,1,5
10473,2,2,3,5
17171,2,7,1,2
10481,10,10,0,5
10725,9,6,0,7
10703,15,12,2,12
10701,20,13,3,16
14904,15,12,2,4
10716,14,8,0,3
10721,25,14,0,2
10723,33,12,0,3
11013,34,14,0,3
11015,20,11,0,0
10992,7,7,0,0
11003,11,15,0,2
11006,26,40,0,5
11009,58,66,1,5
11320,51,51,2,3
11322,25,18,0,5
17614,64,51,2,1
11574,121,99,2,9
11572,113,94,2,7
11532,77,75,0,9
11541,130,90,1,10
11547,230,129,2,28
11500,279,173,3,31
11515,226,146,3,31
11794,223,142,1,37
11798,204,93,1,23
11816,96,60,2,17
11823,53,45,1,7
12094,48,66,1,6
12099,55,56,0,6
12108,35,40,0,4
14872,20,21,0,2
14873,32,22,0,2
14874,43,26,0,3
14869,33,21,0,2
17585,101,72,2,2
12484,53,49,0,3
12483,34,36,0,3
12481,36,39,0,3
12487,84,36,1,9
12495,113,44,1,12
12506,105,72,2,11
12706,71,55,1,8
12713,69,54,2,6
12716,27,30,1,3
12719,24,25,0,0
19615,6,2,0,0
19613,2,2,0,3
19616,2,3,0,0
12691,3,4,0,0
12855,3,4,0,0
12856,3,4,0,0
13383,12,2,0,0
13385,0,0,0,0
13386,0,0,0,0
13387,0,1,0,0
17281,13,2,0,0
13388,4,1,0,1
13389,9,8,0,0
13390,7,1,0,0
13391,0,0,0,0
13441,0,0,1,0
13442,0,0,1,0
13443,5,1,1,0
13376,5,1,1,0
15468,1,0,0,0
13392,1,0,0,0
14174,1,0,0,0
14175,1,0,0,0
14176,0,0,0,0
14177,2,0,1,0
14178,3,0,1,1
14179,1,0,1,0
13396,1,0,1,0
13397,1,0,1,0
13398,1,0,0,0
16292,2,0,0,1
16751,6,11,0,0
18558,6,11,0,0
16753,5,8,0,0
16756,0,0,0,0
14881,2,0,0,0
14882,2,0,1,0
14883,2,0,1,0
15974,0,0,0,0
15975,0,0,0,0
15972,1,0,0,0
10306,3,2,0,5
10309,3,2,0,3
10301,3,2,0,4
17723,2,0,0,0
17724,2,0,0,0
13135,3,2,0,0
13136,2,3,0,0
15615,3,2,0,0
16665,8,2,0,3
16932,12,8,0,2
11132,11,5,0,2
11401,10,4,0,3
11402,7,2,0,1
11413,17,3,0,2
11415,10,2,0,1
11418,14,4,0,1
11433,11,4,0,3
11435,6,3,0,3
17561,10,9,0,9
17564,11,13,0,5
17566,13,20,0,3
17741,37,24,1,1
12039,18,20,1,2
12038,14,21,1,3
12034,21,23,1,2
12032,23,22,1,5
12048,40,35,1,1
12045,48,54,0,1
11781,49,55,1,1
11778,49,63,1,1
17710,48,62,3,4
11763,57,53,2,4
11790,92,76,1,10
11795,136,94,1,20
11807,154,82,1,23
11817,79,43,2,10
11822,52,53,1,7
11828,53,63,0,5
11821,33,50,1,2
11774,31,53,2,2
11770,36,45,2,4
11764,58,54,2,5
17711,44,57,3,4
17712,43,65,1,1
11776,50,62,1,1
10654,2,14,0,2
10662,2,8,0,1
10679,20,7,0,1
11037,2,2,0,1
11040,2,2,0,0
11027,3,5,1,1
11360,5,7,0,5
11359,15,5,0,11
11358,26,11,0,14
11034,29,21,0,20
11029,15,17,0,10
11019,20,24,0,27
11017,32,24,0,30
11023,22,29,0,16
11026,45,34,0,14
11336,30,17,0,12
11343,63,21,0,7
11344,69,21,0,7
11349,71,24,0,4
11347,71,24,0,4
11355,67,25,0,4
11354,60,25,0,3
11351,22,15,0,7
15436,35,39,0,16
17359,49,37,0,9
17343,64,40,0,11
12385,8,6,0,1
12384,16,9,0,1
12374,31,19,0,3
13172,26,21,0,5
12074,28,29,0,8
12071,23,32,0,6
12067,24,39,0,6
12059,33,39,0,3
12051,31,50,0,2
11826,32,50,0,1
11520,109,76,1,15
11511,224,129,4,30
11503,279,177,3,34
11491,290,176,1,31
11494,300,162,1,32
11483,226,100,6,27
18519,150,91,4,52
11217,71,44,2,32
11210,104,33,0,17
10891,129,34,0,15
10874,116,34,0,11
10905,79,61,0,9
10635,46,43,0,6
10634,36,39,0,6
10630,21,20,0,6
10621,15,15,0,1
10618,19,15,0,2
17360,15,5,1,3
17466,4,0,1,1
17467,2,2,1,0
17468,3,1,1,0
17469,3,1,0,0
12031,23,22,1,4
12033,18,23,1,2
12037,15,21,1,3
12040,36,27,1,1
17951,37,18,1,2
12347,40,26,0,2
12349,26,22,0,2
12333,17,16,0,1
12331,10,6,0,1
12327,3,3,0,0
12329,2,3,0,0
12339,0,0,0,0
12326,0,0,0,0
12594,3,2,0,0
12592,2,1,0,0
12322,2,1,0,0
15641,0,0,0,0
15642,0,0,0,1
15639,0,1,0,1
15581,3,5,0,0
15429,12,7,0,1
15397,10,2,0,1
15395,7,1,0,1
15393,4,0,0,0
15391,6,0,0,0
15389,10,3,0,2
15387,10,4,0,3
15385,33,36,0,13
15533,36,36,0,12
10631,28,21,0,4
10615,23,16,0,0
10605,27,19,0,1
10418,22,16,0,1
10408,12,11,0,1
10380,3,4,0,1
10377,3,4,0,2
10381,4,3,0,2
17620,2,2,0,0
10235,8,6,0,1
10215,7,7,0,2
15771,9,1,0,0
10208,9,2,0,0
10218,15,7,0,0
10068,18,10,0,1
10065,9,6,0,1
10062,8,6,0,0
14815,12,13,0,1
10160,10,11,0,1
10137,2,2,0,0
10132,7,4,0,0
12942,8,5,0,0
10029,7,4,0,0
10027,2,3,0,0
13116,1,2,0,0
11621,1,2,0,0
10024,0,0,0,0
10022,0,0,0,0
15558,0,0,0,0
19175,0,0,0,0
10734,3,1,1,0
10733,3,1,1,0
10731,4,2,1,0
10745,8,3,1,0
16717,12,3,2,0
16718,11,4,0,0
10494,7,0,1,2
10484,10,2,0,1
10483,8,2,0,1
10728,9,5,0,7
10706,12,12,2,12
10709,23,15,3,7
10715,28,21,1,5
10719,38,25,0,4
10993,56,44,0,5
10958,85,75,1,9
10963,116,85,3,11
11286,102,79,3,13
11293,72,101,3,15
11299,68,97,3,10
11304,59,77,3,5
11307,51,50,3,4
11564,83,69,1,6
11534,68,70,0,7
17392,164,105,1,17
17393,255,123,1,33
17394,241,122,1,28
11885,101,88,4,17
11889,136,107,5,22
11893,145,105,2,18
12187,184,80,0,18
12194,116,77,0,15
12147,38,52,1,5
12143,29,26,0,1
12109,29,37,0,3
12098,58,53,0,6
12095,53,64,1,6
17588,49,63,1,2
11767,25,57,2,3
11471,15,45,2,7
11460,25,36,0,8
11452,56,58,2,7
17559,85,125,2,5
11199,88,147,2,6
11182,129,168,5,13
11193,151,161,6,10
11184,133,88,4,26
17038,43,20,0,14
11242,94,32,0,14
16895,131,79,3,49
11277,125,73,3,37
16954,0,0,0,0
16955,0,0,0,0
16956,0,0,0,0
14939,0,0,0,0
16957,0,0,0,0
16958,0,0,0,0
16959,0,0,0,0
16960,0,0,0,0
14942,0,0,0,0
13615,0,0,0,0
13617,0,0,0,0
17752,1,0,0,0
14944,3,4,0,0
14945,3,0,0,0
14947,19,8,0,2
14948,82,33,0,7
14949,76,29,0,9
14950,47,20,0,8
13348,71,23,0,7
13104,94,19,0,5
13105,72,16,0,4
13106,41,9,0,3
13107,6,3,0,1
16795,3,6,0,0
13672,31,10,0,9
13673,16,6,2,8
13674,14,4,0,0
16050,17,5,0,0
13676,23,6,2,1
16047,37,6,0,4
16046,5,0,0,0
16043,5,0,0,0
16052,2,0,0,0
14006,2,0,0,0
16042,0,0,0,0
13624,4,0,0,1
13625,6,1,0,1
13630,4,4,0,0
13631,2,2,0,0
13658,3,2,0,0
14600,3,0,0,3
13554,9,4,2,4
13555,4,2,3,2
17403,6,2,0,0
14870,44,25,0,3
12124,28,27,0,1
14871,19,16,0,2
12111,29,36,0,3
11820,47,45,1,8
11810,132,69,2,20
11797,224,103,1,26
11793,222,137,1,34
11514,241,153,3,32
11548,229,134,2,27
11542,124,85,1,9
11533,85,76,1,8
11570,106,94,1,8
11573,126,104,2,8
11575,116,95,0,9
17613,64,50,2,2
11323,23,18,0,5
11321,45,44,2,4
11317,52,57,0,5
11010,29,41,0,5
11002,11,13,0,2
10995,8,7,0,0
11016,13,8,0,0
11014,41,13,0,3
10720,34,13,0,3
10722,25,13,0,2
10717,13,8,0,3
10713,13,9,2,4
14905,22,13,3,17
14972,15,11,2,12
10727,9,6,0,8
10480,5,7,1,2
10474,2,3,3,5
10472,1,1,1,5
14970,3,3,0,0
13332,5,3,2,3
13333,5,5,2,4
13334,1,3,0,7
18141,0,2,0,9
13335,0,1,0,0
13324,4,7,0,3
13325,4,7,0,2
13326,4,7,0,2
13338,1,0,0,0
13339,0,3,0,0
13340,0,2,0,0
13341,0,3,0,0
15652,4,5,0,0
12921,0,0,0,0
12854,0,0,0,0
12852,0,0,0,0
18119,8,4,0,3
12647,7,7,0,1
12405,20,23,0,0
12400,17,20,0,0
12391,20,16,0,2
12127,13,14,0,3
12125,20,17,0,3
17854,139,72,2,18
18155,307,121,1,33
17769,225,137,1,33
17855,205,128,3,29
16929,259,157,3,32
16656,0,0,0,0
16330,6,2,0,0
16654,7,3,0,0
16652,9,4,0,0
16650,1,0,0,0
16648,0,0,0,0
16646,1,1,0,0
16644,2,1,0,0
16641,3,3,0,0
16640,4,1,0,0
16638,3,3,0,0
16636,4,2,0,0
16041,2,1,0,4
15086,1,4,0,2
11701,0,0,0,0
12011,0,0,0,0
12012,0,0,0,0
11702,0,0,0,0
19727,0,1,0,0
13421,3,3,1,0
15240,3,3,1,0
16084,10,10,0,1
12818,10,8,0,1
12813,10,10,0,1
16079,13,10,0,1
16080,13,23,0,5
16081,17,31,0,4
16083,23,29,0,4
16078,18,24,0,3
13634,35,17,0,2
13636,75,33,0,2
13637,56,22,0,1
15919,11,10,1,1
14601,10,11,0,0
14602,4,5,0,0
14604,9,3,1,0
14605,24,4,1,4
14896,21,4,0,4
15061,2,3,0,0
12010,7,4,0,0
12317,8,5,0,1
12305,7,5,0,2
12303,7,10,0,2
12008,4,8,0,1
15414,7,1,0,1
11965,6,1,0,1
11971,6,2,0,1
11983,10,4,0,2
11981,25,10,0,2
11976,35,17,1,1
11969,35,17,0,2
11954,35,15,0,1
11951,48,21,0,3
11955,40,16,0,2
11960,45,20,0,3
11927,10,8,0,3
11941,30,27,0,6
11937,32,33,0,6
11929,81,52,2,7
11921,100,76,4,15
13778,19,24,0,3
10966,25,18,0,5
10690,45,22,0,4
10677,19,19,1,10
10674,14,16,1,9
10465,13,11,0,6
10461,13,12,0,7
10443,9,8,0,1
10442,4,3,0,0
10438,9,5,0,1
10291,5,3,0,1
10285,0,1,0,0
10283,12,7,0,2
10280,11,6,0,1
10277,14,7,0,2
10294,23,12,0,4
10117,11,5,0,1
10108,5,3,0,1
10105,1,2,0,0
10102,0,2,0,0
10191,0,0,0,1
10100,1,0,0,2
10189,8,2,0,3
15920,84,32,0,9
15129,48,24,0,3
15130,29,23,0,4
15921,24,12,2,4
15922,11,3,1,0
16810,15,6,0,0
16811,8,5,1,0
11091,1,2,0,0
11093,1,2,0,0
11095,1,2,0,1
11078,18,2,0,1
11081,20,2,0,0
11105,3,0,0,0
11108,3,1,0,0
11110,5,1,0,0
11111,12,4,0,2
11131,10,3,0,2
