Classe di età,Tipo attività,Periodo temporale di riferimento,Value
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:00 - 00:10,73.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:10 - 00:20,75.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:20 - 00:30,77.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:30 - 00:40,80.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:40 - 00:50,82.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:50 - 01:00,83.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:00 - 01:10,87.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:10 - 01:20,89.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:20 - 00:30,90.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:30 - 01:40,91.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:40 - 01:50,91.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:50 - 02:00,92.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:00 - 02:10,93.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:10 - 02:20,94.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:20 - 02:30,94.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:30 - 02:40,95.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:40 - 02:50,95.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:50 - 03:00,95.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:00 - 03:10,96.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:10 - 03:20,97.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:20 - 03:30,97.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:30 - 03:40,97.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:40 - 03:50,97.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:50 - 04:00,98.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:00 - 04:10,99.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:10 - 04:20,99.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:20 - 04:30,99.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:30 - 04:40,99.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:40 - 04:50,99.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:50 - 05:00,99.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 05:00 - 05:10,99.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 05:10 - 05:20,99.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 05:20 - 05:30,98.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 05:30 - 05:40,98.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 05:40 - 05:50,98.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 05:50 - 06:00,98.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 06:00 - 06:10,98.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 06:10 - 06:20,97.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 06:20 - 06:30,97.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 06:30 - 06:40,95.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 06:40 - 06:50,94.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 06:50 - 07:00,90.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 07:00 - 07:10,86.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 07:10 - 07:20,84.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 07:20 - 07:30,79.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 07:30 - 07:40,74.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 07:40 - 07:50,69.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 07:50 - 08:00,63.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 08:00 - 08:10,56.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 08:10 - 08:20,55.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 08:20 - 08:30,52.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 08:30 - 08:40,50.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 08:40 - 08:50,48.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 08:50 - 09:00,46.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 09:00 - 09:10,43.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 09:10 - 09:20,41.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 09:20 - 09:30,38.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 09:30 - 09:40,36.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 09:40 - 09:50,34.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 09:50 - 10:00,32.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 10:00 - 10:10,27.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 10:10 - 10:20,26.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 10:20 - 10:30,25.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 10:30 - 10:40,22.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 10:40 - 10:50,20.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 10:50 - 11:00,18.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 11:00 - 11:10,15.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 11:10 - 11:20,14.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 11:20 - 11:30,12.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 11:30 - 11:40,11.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 11:40 - 11:50,10.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 11:50 - 12:00,10.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 12:00 - 12:10,13.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 12:10 - 12:20,15.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 12:20 - 12:30,16.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 12:30 - 12:40,19.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 12:40 - 12:50,20.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 12:50 - 13:00,23.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 13:00 - 13:10,32.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 13:10 - 13:20,36.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 13:20 - 13:30,39.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 13:30 - 13:40,41.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 13:40 - 13:50,40.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 13:50 - 14:00,39.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 14:00 - 14:10,29.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 14:10 - 14:20,29.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 14:20 - 14:30,28.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 14:30 - 14:40,24.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 14:40 - 14:50,23.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 14:50 - 15:00,20.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 15:00 - 15:10,13.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 15:10 - 15:20,10.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 15:20 - 15:30,10.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 15:30 - 15:40,9.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 15:40 - 15:50,8.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 15:50 - 16:00,7.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 16:00 - 16:10,8.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 16:10 - 16:20,9.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 16:20 - 16:30,9.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 16:30 - 16:40,9.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 16:40 - 16:50,8.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 16:50 - 17:00,8.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 17:00 - 17:10,9.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 17:10 - 17:20,7.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 17:20 - 17:30,7.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 17:30 - 17:40,7.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 17:40 - 17:50,7.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 17:50 - 18:00,6.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 18:00 - 18:10,9.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 18:10 - 18:20,9.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 18:20 - 18:30,8.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 18:30 - 18:40,9.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 18:40 - 18:50,9.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 18:50 - 19:00,9.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 19:00 - 19:10,17.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 19:10 - 19:20,20.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 19:20 - 19:30,22.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 19:30 - 19:40,25.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 19:40 - 19:50,27.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 19:50 - 20:00,32.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 20:00 - 20:10,40.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 20:10 - 20:20,44.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 20:20 - 20:30,46.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 20:30 - 20:40,47.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 20:40 - 20:50,47.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 20:50 - 21:00,44.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 21:00 - 21:10,32.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 21:10 - 21:20,31.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 21:20 - 21:30,29.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 21:30 - 21:40,23.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 21:40 - 21:50,22.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 21:50 - 22:00,23.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 22:00 - 22:10,26.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 22:10 - 22:20,27.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 22:20 - 22:30,27.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 22:30 - 22:40,30.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 22:40 - 22:50,32.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 22:50 - 23:00,36.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 23:00 - 23:10,48.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 23:10 - 23:20,52.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 23:20 - 23:30,55.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 23:30 - 23:40,59.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 23:40 - 23:50,61.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 23:50 - 00:00,64.1
15-24 anni,istruzione e formazione,giorno medio settimanale 00:00 - 00:10,0.4
15-24 anni,istruzione e formazione,giorno medio settimanale 00:10 - 00:20,0.3
15-24 anni,istruzione e formazione,giorno medio settimanale 00:20 - 00:30,0.2
15-24 anni,istruzione e formazione,giorno medio settimanale 00:30 - 00:40,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 00:40 - 00:50,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 00:50 - 01:00,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 01:00 - 01:10,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 01:10 - 01:20,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 01:20 - 00:30,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 01:30 - 01:40,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 01:40 - 01:50,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 01:50 - 02:00,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 02:00 - 02:10,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 02:10 - 02:20,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 02:20 - 02:30,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 02:30 - 02:40,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 02:40 - 02:50,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 02:50 - 03:00,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 03:00 - 03:10,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 03:10 - 03:20,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 03:20 - 03:30,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 03:30 - 03:40,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 03:40 - 03:50,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 03:50 - 04:00,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 04:30 - 04:40,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 04:40 - 04:50,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 04:50 - 05:00,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 05:00 - 05:10,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 05:10 - 05:20,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 05:20 - 05:30,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 05:30 - 05:40,0.0
15-24 anni,istruzione e formazione,giorno medio settimanale 05:40 - 05:50,0.2
15-24 anni,istruzione e formazione,giorno medio settimanale 05:50 - 06:00,0.2
15-24 anni,istruzione e formazione,giorno medio settimanale 06:00 - 06:10,0.2
15-24 anni,istruzione e formazione,giorno medio settimanale 06:10 - 06:20,0.1
15-24 anni,istruzione e formazione,giorno medio settimanale 06:20 - 06:30,0.2
15-24 anni,istruzione e formazione,giorno medio settimanale 06:30 - 06:40,0.3
15-24 anni,istruzione e formazione,giorno medio settimanale 06:40 - 06:50,0.4
15-24 anni,istruzione e formazione,giorno medio settimanale 06:50 - 07:00,0.4
15-24 anni,istruzione e formazione,giorno medio settimanale 07:00 - 07:10,0.4
15-24 anni,istruzione e formazione,giorno medio settimanale 07:10 - 07:20,0.4
15-24 anni,istruzione e formazione,giorno medio settimanale 07:20 - 07:30,0.7
15-24 anni,istruzione e formazione,giorno medio settimanale 07:30 - 07:40,1.2
15-24 anni,istruzione e formazione,giorno medio settimanale 07:40 - 07:50,2.8
15-24 anni,istruzione e formazione,giorno medio settimanale 07:50 - 08:00,7.8
15-24 anni,istruzione e formazione,giorno medio settimanale 08:00 - 08:10,18.0
15-24 anni,istruzione e formazione,giorno medio settimanale 08:10 - 08:20,23.8
15-24 anni,istruzione e formazione,giorno medio settimanale 08:20 - 08:30,27.2
15-24 anni,istruzione e formazione,giorno medio settimanale 08:30 - 08:40,30.3
15-24 anni,istruzione e formazione,giorno medio settimanale 08:40 - 08:50,31.3
15-24 anni,istruzione e formazione,giorno medio settimanale 08:50 - 09:00,33.1
15-24 anni,istruzione e formazione,giorno medio settimanale 09:00 - 09:10,36.0
15-24 anni,istruzione e formazione,giorno medio settimanale 09:10 - 09:20,37.2
15-24 anni,istruzione e formazione,giorno medio settimanale 09:20 - 09:30,38.3
15-24 anni,istruzione e formazione,giorno medio settimanale 09:30 - 09:40,39.4
15-24 anni,istruzione e formazione,giorno medio settimanale 09:40 - 09:50,40.0
15-24 anni,istruzione e formazione,giorno medio settimanale 09:50 - 10:00,40.9
15-24 anni,istruzione e formazione,giorno medio settimanale 10:00 - 10:10,42.6
15-24 anni,istruzione e formazione,giorno medio settimanale 10:10 - 10:20,43.4
15-24 anni,istruzione e formazione,giorno medio settimanale 10:20 - 10:30,44.0
15-24 anni,istruzione e formazione,giorno medio settimanale 10:30 - 10:40,44.6
15-24 anni,istruzione e formazione,giorno medio settimanale 10:40 - 10:50,44.9
15-24 anni,istruzione e formazione,giorno medio settimanale 10:50 - 11:00,45.6
15-24 anni,istruzione e formazione,giorno medio settimanale 11:00 - 11:10,45.6
15-24 anni,istruzione e formazione,giorno medio settimanale 11:10 - 11:20,45.5
15-24 anni,istruzione e formazione,giorno medio settimanale 11:20 - 11:30,45.4
15-24 anni,istruzione e formazione,giorno medio settimanale 11:30 - 11:40,44.7
15-24 anni,istruzione e formazione,giorno medio settimanale 11:40 - 11:50,44.6
15-24 anni,istruzione e formazione,giorno medio settimanale 11:50 - 12:00,44.7
15-24 anni,istruzione e formazione,giorno medio settimanale 12:00 - 12:10,42.5
15-24 anni,istruzione e formazione,giorno medio settimanale 12:10 - 12:20,41.9
15-24 anni,istruzione e formazione,giorno medio settimanale 12:20 - 12:30,40.6
15-24 anni,istruzione e formazione,giorno medio settimanale 12:30 - 12:40,38.8
15-24 anni,istruzione e formazione,giorno medio settimanale 12:40 - 12:50,37.8
15-24 anni,istruzione e formazione,giorno medio settimanale 12:50 - 13:00,35.3
15-24 anni,istruzione e formazione,giorno medio settimanale 13:00 - 13:10,21.9
15-24 anni,istruzione e formazione,giorno medio settimanale 13:10 - 13:20,18.5
15-24 anni,istruzione e formazione,giorno medio settimanale 13:20 - 13:30,15.5
15-24 anni,istruzione e formazione,giorno medio settimanale 13:30 - 13:40,12.8
15-24 anni,istruzione e formazione,giorno medio settimanale 13:40 - 13:50,11.5
15-24 anni,istruzione e formazione,giorno medio settimanale 13:50 - 14:00,10.7
15-24 anni,istruzione e formazione,giorno medio settimanale 14:00 - 14:10,10.7
15-24 anni,istruzione e formazione,giorno medio settimanale 14:10 - 14:20,10.6
15-24 anni,istruzione e formazione,giorno medio settimanale 14:20 - 14:30,11.5
15-24 anni,istruzione e formazione,giorno medio settimanale 14:30 - 14:40,13.2
15-24 anni,istruzione e formazione,giorno medio settimanale 14:40 - 14:50,14.8
15-24 anni,istruzione e formazione,giorno medio settimanale 14:50 - 15:00,16.2
15-24 anni,istruzione e formazione,giorno medio settimanale 15:00 - 15:10,23.2
15-24 anni,istruzione e formazione,giorno medio settimanale 15:10 - 15:20,23.8
15-24 anni,istruzione e formazione,giorno medio settimanale 15:20 - 15:30,24.8
15-24 anni,istruzione e formazione,giorno medio settimanale 15:30 - 15:40,27.1
15-24 anni,istruzione e formazione,giorno medio settimanale 15:40 - 15:50,28.3
15-24 anni,istruzione e formazione,giorno medio settimanale 15:50 - 16:00,28.7
15-24 anni,istruzione e formazione,giorno medio settimanale 16:00 - 16:10,30.8
15-24 anni,istruzione e formazione,giorno medio settimanale 16:10 - 16:20,31.1
15-24 anni,istruzione e formazione,giorno medio settimanale 16:20 - 16:30,30.7
15-24 anni,istruzione e formazione,giorno medio settimanale 16:30 - 16:40,30.6
15-24 anni,istruzione e formazione,giorno medio settimanale 16:40 - 16:50,30.5
15-24 anni,istruzione e formazione,giorno medio settimanale 16:50 - 17:00,29.7
15-24 anni,istruzione e formazione,giorno medio settimanale 17:00 - 17:10,26.0
15-24 anni,istruzione e formazione,giorno medio settimanale 17:10 - 17:20,26.6
15-24 anni,istruzione e formazione,giorno medio settimanale 17:20 - 17:30,26.6
15-24 anni,istruzione e formazione,giorno medio settimanale 17:30 - 17:40,25.6
15-24 anni,istruzione e formazione,giorno medio settimanale 17:40 - 17:50,25.0
15-24 anni,istruzione e formazione,giorno medio settimanale 17:50 - 18:00,24.4
15-24 anni,istruzione e formazione,giorno medio settimanale 18:00 - 18:10,18.6
15-24 anni,istruzione e formazione,giorno medio settimanale 18:10 - 18:20,19.1
15-24 anni,istruzione e formazione,giorno medio settimanale 18:20 - 18:30,19.0
15-24 anni,istruzione e formazione,giorno medio settimanale 18:30 - 18:40,17.2
15-24 anni,istruzione e formazione,giorno medio settimanale 18:40 - 18:50,16.2
15-24 anni,istruzione e formazione,giorno medio settimanale 18:50 - 19:00,15.2
15-24 anni,istruzione e formazione,giorno medio settimanale 19:00 - 19:10,8.7
15-24 anni,istruzione e formazione,giorno medio settimanale 19:10 - 19:20,8.5
15-24 anni,istruzione e formazione,giorno medio settimanale 19:20 - 19:30,7.9
15-24 anni,istruzione e formazione,giorno medio settimanale 19:30 - 19:40,7.0
15-24 anni,istruzione e formazione,giorno medio settimanale 19:40 - 19:50,6.4
15-24 anni,istruzione e formazione,giorno medio settimanale 19:50 - 20:00,5.3
15-24 anni,istruzione e formazione,giorno medio settimanale 20:00 - 20:10,3.0
15-24 anni,istruzione e formazione,giorno medio settimanale 20:10 - 20:20,2.8
15-24 anni,istruzione e formazione,giorno medio settimanale 20:20 - 20:30,2.4
15-24 anni,istruzione e formazione,giorno medio settimanale 20:30 - 20:40,2.0
15-24 anni,istruzione e formazione,giorno medio settimanale 20:40 - 20:50,2.2
15-24 anni,istruzione e formazione,giorno medio settimanale 20:50 - 21:00,2.2
15-24 anni,istruzione e formazione,giorno medio settimanale 21:00 - 21:10,2.8
15-24 anni,istruzione e formazione,giorno medio settimanale 21:10 - 21:20,2.7
15-24 anni,istruzione e formazione,giorno medio settimanale 21:20 - 21:30,2.8
15-24 anni,istruzione e formazione,giorno medio settimanale 21:30 - 21:40,3.2
15-24 anni,istruzione e formazione,giorno medio settimanale 21:40 - 21:50,3.4
15-24 anni,istruzione e formazione,giorno medio settimanale 21:50 - 22:00,3.1
15-24 anni,istruzione e formazione,giorno medio settimanale 22:00 - 22:10,2.6
15-24 anni,istruzione e formazione,giorno medio settimanale 22:10 - 22:20,2.6
15-24 anni,istruzione e formazione,giorno medio settimanale 22:20 - 22:30,2.5
15-24 anni,istruzione e formazione,giorno medio settimanale 22:30 - 22:40,2.1
15-24 anni,istruzione e formazione,giorno medio settimanale 22:40 - 22:50,2.1
15-24 anni,istruzione e formazione,giorno medio settimanale 22:50 - 23:00,2.0
15-24 anni,istruzione e formazione,giorno medio settimanale 23:00 - 23:10,1.6
15-24 anni,istruzione e formazione,giorno medio settimanale 23:10 - 23:20,1.4
15-24 anni,istruzione e formazione,giorno medio settimanale 23:20 - 23:30,1.2
15-24 anni,istruzione e formazione,giorno medio settimanale 23:30 - 23:40,1.0
15-24 anni,istruzione e formazione,giorno medio settimanale 23:40 - 23:50,0.9
15-24 anni,istruzione e formazione,giorno medio settimanale 23:50 - 00:00,0.8
15-24 anni,lavoro familiare,giorno medio settimanale 00:00 - 00:10,0.3
15-24 anni,lavoro familiare,giorno medio settimanale 00:10 - 00:20,0.2
15-24 anni,lavoro familiare,giorno medio settimanale 00:20 - 00:30,0.3
15-24 anni,lavoro familiare,giorno medio settimanale 00:30 - 00:40,0.2
15-24 anni,lavoro familiare,giorno medio settimanale 00:40 - 00:50,0.2
15-24 anni,lavoro familiare,giorno medio settimanale 00:50 - 01:00,0.2
15-24 anni,lavoro familiare,giorno medio settimanale 01:00 - 01:10,0.3
15-24 anni,lavoro familiare,giorno medio settimanale 01:10 - 01:20,0.3
15-24 anni,lavoro familiare,giorno medio settimanale 01:20 - 00:30,0.1
15-24 anni,lavoro familiare,giorno medio settimanale 01:30 - 01:40,0.1
15-24 anni,lavoro familiare,giorno medio settimanale 01:40 - 01:50,0.1
15-24 anni,lavoro familiare,giorno medio settimanale 01:50 - 02:00,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 02:00 - 02:10,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 02:10 - 02:20,0.1
15-24 anni,lavoro familiare,giorno medio settimanale 02:20 - 02:30,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 02:30 - 02:40,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 02:40 - 02:50,0.1
15-24 anni,lavoro familiare,giorno medio settimanale 02:50 - 03:00,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 03:00 - 03:10,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 03:10 - 03:20,0.1
15-24 anni,lavoro familiare,giorno medio settimanale 03:20 - 03:30,0.3
15-24 anni,lavoro familiare,giorno medio settimanale 03:30 - 03:40,0.2
15-24 anni,lavoro familiare,giorno medio settimanale 03:40 - 03:50,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 03:50 - 04:00,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 04:00 - 04:10,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 04:10 - 04:20,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 04:20 - 04:30,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 04:30 - 04:40,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 04:40 - 04:50,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 04:50 - 05:00,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 05:00 - 05:10,0.0
15-24 anni,lavoro familiare,giorno medio settimanale 05:10 - 05:20,0.1
