id_amat,nome
10111,"Via Appennini, 97 prima di Via Alex Visconti"
10112,Via Appenini fronte 103
10113,Via Betti (Bonola M1)
10114,Via Betti (Bonola M1)
10115,Via Betti (Bonola M1)
10116,Via Cilea prima di Via Bacchelli
10117,Via Cilea dopo Via Falck
10118,"Via Appennini, 7 prima di Via Quarenghi"
10119,Via Appennini fronte 7/a dopo Via Quarenghi
10120,Via Appenini fronte 43
10121,"Via Appennini, 43"
10122,Via Cechov dopo distributore Shell
10123,Via Quarenghi fronte 41
10124,"Via Appenini, 179"
10125,Via Appenini fronte 179
10126,Campo 92
10127,Campo 91
10128,"Via degli Ontani, 1 prima di Via degli Ulivi"
10130,Via degli Ulivi dopo Via dei Larici
10132,Via degli Ippocastani dopo Via delle Betulle
10134,Via degli Ulivi prima di Via delle Betulle
10135,Via Valsesia altezza Via Gozzoli
10136,"Via Valsesia, 86 altezza Via Bagarotti"
10137,"Via Bagarotti, 44 dopo Via Gozzoli"
10138,Via Bagarotti fronte 38 dopo Via Gozzoli
10140,"Via Mosca, 33 dopo Via Castrovillari"
10141,"Via Quinto Romano, 40 prima di Via Roane"
10142,Via Frigerio prima di Via Amantea
10144,"Via Val D'Intelvi, 24 prima di Via Cusago"
10145,"Via Val D'Intelvi, 4 dopo Via Mosca"
10147,"Via A. da Baggio, 55"
10148,"Via A. da Baggio, 54 prima di Via Quinto Romano"
10149,"Via Cabella, 51 dopo Via Gozzoli"
10150,"Via Cabella, 52 prima di Via Gozzoli"
10151,Via A. da Baggio fronte 10 prima di Via Rismondo
10152,"Via Rismondo, 70 prima di Via A. da Baggio"
10154,"Via Cabella, 42 dopo Via B.M. da Carcano"
10155,"Via Cabella, 37 prima di Via A. da Rosciate"
10158,"Via Rismondo, 30 prima di Via Canevari"
10159,"Via Rismondo, 39"
10160,"Via Bagarotti, 22 dopo Via A. da Rosciate"
10161,"Via A. da Rosciate, 18 prima di Via Bagarotti"
10162,"Via A. da Rosciate, 21 dopo Via Bagarotti"
10163,Via Bagarotti prima di Via A. da Rosciate
10164,"Via Forze Armate, 364 prima di Via Rismondo"
10166,"Via Forze Armate, 363 dopo Via Rismondo"
10167,Via Quinto Romano prima di Via Budrio
10168,Via Quinto Romano fronte 76 prima di Via Budrio
10169,"Via Diotti, 22"
10171,"Via Diotti, 43"
10172,Via Diotti fronte 9 dopo Via Scanini
10173,"Via Di Vittorio, 8 dopo Via Caldera"
10174,"Via Caldera, 111"
10175,"Via Caldera, 126"
10176,Via Novara dopo Via Silla
10177,Via Piccoli. dopo Via Chiostergi
10178,"Via De Sica, 5"
10180,P.za Madonna della Provvidenza (Q.to Romano)
10181,P.za Madonna della Provvidenza (Q.to Romano)
10182,Via Togni fronte 2
10183,Via San Romanello fronte 28 prima di Via Togni
10184,"Via San Romanello, 34 dopo Via Tofano"
10185,"Via San Romanello, 81 dopo Via Novara"
10186,"Via San Romanello, 48 prima di Via Novara"
10188,Stz Molino Dorino M1
10189,Stz Molino Dorino M1 (San Leonardo)
10190,Via Cilea fronte 120
10191,"Via Cilea, 128"
10192,Stz Molino Dorino M1
10193,Via Buccinasco prima di Via Santi
10194,Via Santi prima di Via Lodovico il Moro
10195,"Via Lorenteggio, 284 fronte ex Dazio"
10196,Via Molinetto di Lorenteggio
10197,Via Lorenteggio fronte 278 (ex Dazio)
10199,Via Gonin dopo Via Molinetto di Lorenteggio
10200,Via Gonin prima di Via Molinetto di Lorenteggio
10201,"Via Lorenteggio, 239 prima di Via Giordani"
10202,"Via Lorenteggio, 258 dopo Via Bisceglie"
10203,Via Bisceglie prima di Via Kuliscioff
10204,Via Gonin prima di Via Giordani
10205,"Via Gonin, 34 prima di Via Giordani"
10206,"Via Lucca, 30"
10207,Via Lucca fronte 28
10208,Via Lucca fronte 14
10209,"Via Lucca, 14"
10210,Via Parri (Bisceglie M1 lato autostazione)
10211,Via Parri (Bisceglie M1)
10212,"Via Zurigo, 65 prima di Via Carozzi"
10213,"Via Bisceglie, 76"
10214,"Via Bisceglie, 73 prima di Via Ciconi"
10215,"Via Zurigo, 22 prima di Via Carozzi"
10216,Via Inganni dopo Via delle Margherite
10217,"Via Inganni, 87 prima di Via del Passero"
10218,Via Viterbo prima di Via Colombi
10219,"Via Viterbo, dopo Via Colombi"
10223,"Via Forze Armate, 196 prima di Via Osteno"
10224,Via Olivieri fronte 12
10227,Via Forze Armate dopo Via Creta
10228,"Via Olivieri, 7 prima di Via Forze Armate"
10229,Via Filippo M.Beltrami prima di Via Forze Armate
10230,"Via Forze Armate, 179 dopo Via Olivieri"
10231,"Via Forze Armate, 182 prima di Via Olivieri"
10232,Via Forze Armate fronte 163 dopo Via Saint Bon
10233,"Via Saint Bon, 12 dopo Via Forze Armate"
10234,"Via Forze Armate, 163 prima di Via Saint Bon"
10235,"Via Zurigo, 2 dopo Via Saint Bon"
10236,"Via Zurigo, 3 prima di Via Inganni"
10237,"Via Inganni, 103 dopo Via Zurigo"
10238,"Via Saint Bon, 3 prima di Forze Armate"
