Unnamed: 0,0,1,coords,nil
990,9.11292550791171,45.4553804010375,"45.4553804010375, 9.11292550791171",FORZE ARMATE
949,9.12226290790823,45.4575630010367,"45.4575630010367, 9.12226290790823",FORZE ARMATE
920,9.12925970790564,45.459413601036,"45.459413601036, 9.12925970790564",FORZE ARMATE
993,9.136484507903,45.4615040010352,"45.4615040010352, 9.136484507903",BANDE NERE
957,9.14302800790081,45.4648963010345,"45.4648963010345, 9.14302800790081",BANDE NERE
963,9.14956580789837,45.4664306010339,"45.4664306010339, 9.14956580789837",DE ANGELI - MONTE ROSA
891,9.15591440789601,45.4679501010333,"45.4679501010333, 9.15591440789601",PAGANO
930,9.16109520789396,45.4682808010329,"45.4682808010329, 9.16109520789396",PAGANO
968,9.16648700789168,45.4675341010325,"45.4675341010325, 9.16648700789168",MAGENTA - S. VITTORE
985,9.17642630788776,45.4681953010317,"45.4681953010317, 9.17642630788776",MAGENTA - S. VITTORE
981,9.18202500788552,45.4683672010313,"45.4683672010313, 9.18202500788552",BRERA
967,9.18623540788344,45.4655319010313,"45.4655319010313, 9.18623540788344",BRERA
960,9.18959606423539,45.4646220563982,"45.4646220563982, 9.18959606423539",DUOMO
909,9.197528607879,45.4665214010304,"45.4665214010304, 9.197528607879",DUOMO
929,9.20194900787787,45.4714250010296,"45.4714250010296, 9.20194900787787",GUASTALLA
918,9.20504640787702,45.4744187010291,"45.4744187010291, 9.20504640787702",BUENOS AIRES - VENEZIA
943,9.21098270787541,45.4803459010282,"45.4803459010282, 9.21098270787541",BUENOS AIRES - VENEZIA
941,9.2169815783692,45.4862401109857,"45.4862401109857, 9.2169815783692",LORETO
928,9.21818010787393,45.4910692010267,"45.4910692010267, 9.21818010787393",LORETO
912,9.21950580787399,45.4955331010262,"45.4955331010262, 9.21950580787399",LORETO
898,9.22100470787404,45.5004455010256,"45.5004455010256, 9.22100470787404",PADOVA
951,9.22273880787417,45.5067343010249,"45.5067343010249, 9.22273880787417",VIALE MONZA
921,9.22449910787417,45.5120295010243,"45.5120295010243, 9.22449910787417",VIALE MONZA
893,9.22613020787423,45.5174545010237,"45.5174545010237, 9.22613020787423",VIALE MONZA
903,9.22796150787429,45.523477101023,"45.523477101023, 9.22796150787429",
902,9.23124580787439,45.5341593010219,"45.5341593010219, 9.23124580787439",
904,9.23833340787253,45.5416912010207,"45.5416912010207, 9.23833340787253",
934,9.0929661079264,45.5052116010345,"45.5052116010345, 9.0929661079264",GALLARATESE
901,9.10148120792243,45.5011555010342,"45.5011555010342, 9.10148120792243",GALLARATESE
989,9.11014780791837,45.4970026010339,"45.4970026010339, 9.11014780791837",GALLARATESE
896,9.12054590791373,45.4937169010335,"45.4937169010335, 9.12054590791373",GALLARATESE
945,9.12731920791042,45.4894017010334,"45.4894017010334, 9.12731920791042",GALLARATESE
917,9.13718230790598,45.485958101033,"45.485958101033, 9.13718230790598",QT 8
939,9.14374880790241,45.4791454010331,"45.4791454010331, 9.14374880790241",DE ANGELI - MONTE ROSA
996,9.15096930789877,45.4736789010331,"45.4736789010331, 9.15096930789877",DE ANGELI - MONTE ROSA
987,9.15529230789659,45.4704020010331,"45.4704020010331, 9.15529230789659",DE ANGELI - MONTE ROSA
915,9.08710730793072,45.5198398010336,"45.5198398010336, 9.08710730793072",
927,9.08580670792978,45.5087997010347,"45.5087997010347, 9.08580670792978",
999,9.17732280788232,45.4299949010351,"45.4299949010351, 9.17732280788232",STADERA
958,9.168012607887,45.4368950010352,"45.4368950010352, 9.168012607887",S. CRISTOFORO
913,9.16767680788804,45.4437333010346,"45.4437333010346, 9.16767680788804",NAVIGLI
919,9.16960610788841,45.4523782010337,"45.4523782010337, 9.16960610788841",TORTONA
911,9.16981440788915,45.4586201010331,"45.4586201010331, 9.16981440788915",MAGENTA - S. VITTORE
910,9.1731680078882,45.4616239010326,"45.4616239010326, 9.1731680078882",MAGENTA - S. VITTORE
984,9.17710240788748,45.4681551010317,"45.4681551010317, 9.17710240788748",DUOMO
944,9.18254810788582,45.4722295010309,"45.4722295010309, 9.18254810788582",BRERA
931,9.18447570788573,45.4774395010303,"45.4774395010303, 9.18447570788573",BRERA
956,9.18674240788565,45.4836397010296,"45.4836397010296, 9.18674240788565",GARIBALDI REPUBBLICA
953,9.19485740788253,45.4848999010289,"45.4848999010289, 9.19485740788253",GARIBALDI REPUBBLICA
975,9.20261280787934,45.4844397010284,"45.4844397010284, 9.20261280787934",CENTRALE
982,9.20940940787671,45.4853182010279,"45.4853182010279, 9.20940940787671",CENTRALE
940,9.21516600787429,45.4845943010275,"45.4845943010275, 9.21516600787429",BUENOS AIRES - VENEZIA
926,9.22591680786948,45.481145001027,"45.481145001027, 9.22591680786948",CITTA' STUDI
946,9.23482980786629,45.4842475010261,"45.4842475010261, 9.23482980786629",CITTA' STUDI
897,9.23699640786635,45.4912044010253,"45.4912044010253, 9.23699640786635",PARCO LAMBRO - CIMIANO
973,9.24142570786573,45.5000415010242,"45.5000415010242, 9.24142570786573",PADOVA
965,9.24819330786369,45.5052544010232,"45.5052544010232, 9.24819330786369",PADOVA
978,9.26051020785954,45.5114424010218,"45.5114424010218, 9.26051020785954",PARCO LAMBRO - CIMIANO
970,9.27492710785488,45.5202131010199,"45.5202131010199, 9.27492710785488",
972,9.2829642078526,45.5274782010187,"45.5274782010187, 9.2829642078526",
971,9.29109410785023,45.5343028010175,"45.5343028010175, 9.29109410785023",
892,9.28598910784982,45.5157833010196,"45.5157833010196, 9.28598910784982",
