"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"3-5 anni";"Lambrate - Ortica (23)";324
"3-5 anni";"Parco Forlanini - Cavriano (24)";34
"3-5 anni";"Corsica (25)";463
"3-5 anni";"XXII Marzo (26)";718
"3-5 anni";"Pta Romana (27)";384
"3-5 anni";"Umbria - Molise - Calvairate (28)";591
"3-5 anni";"Ortomercato (29)";103
"3-5 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";476
"3-5 anni";"Monlue' - Ponte Lambro (31)";146
"3-5 anni";"Triulzo Superiore (32)";64
"3-5 anni";"Rogoredo - Santa Giulia (33)";334
"3-5 anni";"Chiaravalle (34)";12
"3-5 anni";"Lodi - Corvetto (35)";884
"3-5 anni";"Scalo Romana (36)";325
"3-5 anni";"Morivione (37)";161
"3-5 anni";"Vigentino - Q.re Fatima (38)";400
"3-5 anni";"Quintosole (39)";5
"3-5 anni";"Ronchetto delle Rane (40)";13
"3-5 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";369
"3-5 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";655
"3-5 anni";"Tibaldi (43)";226
"3-5 anni";"Porta Ticinese - Conchetta (44)";433
"3-5 anni";"Moncucco - San Cristoforo (45)";356
"3-5 anni";"Barona (46)";346
"3-5 anni";"Cantalupa (47)";18
"3-5 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";277
"3-5 anni";"Giambellino (49)";763
"3-5 anni";"Porta Genova (50)";339
"3-5 anni";"Porta Magenta (51)";619
"3-5 anni";"Bande Nere (52)";1001
"3-5 anni";"Lorenteggio (53)";370
"3-5 anni";"Muggiano (54)";64
"3-5 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";725
"3-5 anni";"Forze Armate (56)";631
"3-5 anni";"San Siro (57)";797
"3-5 anni";"De Angeli - Monte Rosa (58)";516
"3-5 anni";"Tre Torri (59)";77
"3-5 anni";"Stadio - Ippodromi (60)";290
"3-5 anni";"Quarto Cagnino (61)";240
"3-5 anni";"Quinto Romano (62)";69
"3-5 anni";"Figino (63)";84
"3-5 anni";"Trenno (64)";77
"3-5 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";649
"3-5 anni";"QT 8 (66)";94
"3-5 anni";"Portello (67)";256
"3-5 anni";"Pagano (68)";432
"3-5 anni";"Sarpi (69)";826
"3-5 anni";"Ghisolfa (70)";444
"3-5 anni";"Villapizzone - Cagnola - Boldinasco (71)";1009
"3-5 anni";"Maggiore - Musocco - Certosa (72)";234
"3-5 anni";"Roserio (74)";3
"3-5 anni";"Stephenson (75)";5
"3-5 anni";"Quarto Oggiaro - Vialba - Musocco (76)";744
"3-5 anni";"Bovisa (77)";363
"3-5 anni";"Farini (78)";87
"3-5 anni";"Dergano (79)";601
"3-5 anni";"Affori (80)";643
"3-5 anni";"Bovisasca (81)";172
"3-5 anni";"Comasina (82)";287
"3-5 anni";"Bruzzano (83)";335
"3-5 anni";"Parco Nord (84)";2
"3-5 anni";"Parco delle Abbazie (85)";27
"3-5 anni";"Parco dei Navigli (86)";9
"3-5 anni";"Assiano (87)";8
"3-5 anni";"Parco Bosco in citta' (88)";19
"6-10 anni";"Duomo (1)";729
"6-10 anni";"Brera (2)";780
"6-10 anni";"Giardini P.ta Venezia (3)";2
"6-10 anni";"Guastalla (4)";625
"6-10 anni";"Porta Vigentina - Porta Lodovica (5)";566
"6-10 anni";"Porta Ticinese - Conca del Naviglio (6)";689
"6-10 anni";"Magenta - S.Vittore (7)";792
"6-10 anni";"Porta Garibaldi - Porta Nuova (9)";229
"6-10 anni";"Stazione Centrale - Ponte Seveso (10)";658
"6-10 anni";"Isola (11)";851
"6-10 anni";"Maciachini - Maggiolina (12)";981
"6-10 anni";"Greco - Segnano (13)";691
"6-10 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1443
"6-10 anni";"Bicocca (15)";404
"6-10 anni";"Gorla - Precotto (16)";1272
"6-10 anni";"Adriano (17)";834
"6-10 anni";"Cimiano - Rottole - Q.re Feltre (18)";736
"6-10 anni";"Padova - Turro - Crescenzago (19)";1535
"6-10 anni";"Loreto - Casoretto - NoLo (20)";1601
"6-10 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2345
"6-10 anni";"Citta' studi (22)";1286
"6-10 anni";"Lambrate - Ortica (23)";532
"6-10 anni";"Parco Forlanini - Cavriano (24)";58
"6-10 anni";"Corsica (25)";798
"6-10 anni";"XXII Marzo (26)";1324
"6-10 anni";"Pta Romana (27)";628
"6-10 anni";"Umbria - Molise - Calvairate (28)";905
"6-10 anni";"Ortomercato (29)";176
"6-10 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";801
"6-10 anni";"Monlue' - Ponte Lambro (31)";257
"6-10 anni";"Triulzo Superiore (32)";89
"6-10 anni";"Rogoredo - Santa Giulia (33)";633
"6-10 anni";"Chiaravalle (34)";30
"6-10 anni";"Lodi - Corvetto (35)";1571
"6-10 anni";"Scalo Romana (36)";481
"6-10 anni";"Morivione (37)";304
"6-10 anni";"Vigentino - Q.re Fatima (38)";695
"6-10 anni";"Quintosole (39)";13
"6-10 anni";"Ronchetto delle Rane (40)";22
"6-10 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";774
"6-10 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1234
"6-10 anni";"Tibaldi (43)";377
"6-10 anni";"Porta Ticinese - Conchetta (44)";752
"6-10 anni";"Moncucco - San Cristoforo (45)";555
"6-10 anni";"Barona (46)";657
"6-10 anni";"Cantalupa (47)";25
"6-10 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";616
"6-10 anni";"Giambellino (49)";1348
"6-10 anni";"Porta Genova (50)";617
"6-10 anni";"Porta Magenta (51)";1138
"6-10 anni";"Bande Nere (52)";1619
"6-10 anni";"Lorenteggio (53)";582
"6-10 anni";"Muggiano (54)";181
"6-10 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1249
"6-10 anni";"Forze Armate (56)";1198
"6-10 anni";"San Siro (57)";1357
"6-10 anni";"De Angeli - Monte Rosa (58)";843
"6-10 anni";"Tre Torri (59)";142
"6-10 anni";"Stadio - Ippodromi (60)";591
"6-10 anni";"Quarto Cagnino (61)";417
"6-10 anni";"Quinto Romano (62)";175
"6-10 anni";"Figino (63)";153
"6-10 anni";"Trenno (64)";113
"6-10 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1192
"6-10 anni";"QT 8 (66)";192
"6-10 anni";"Portello (67)";376
"6-10 anni";"Pagano (68)";826
"6-10 anni";"Sarpi (69)";1489
"6-10 anni";"Ghisolfa (70)";776
"6-10 anni";"Villapizzone - Cagnola - Boldinasco (71)";1843
"6-10 anni";"Maggiore - Musocco - Certosa (72)";372
"6-10 anni";"Cascina Merlata (73)";9
"6-10 anni";"Roserio (74)";12
"6-10 anni";"Stephenson (75)";6
"6-10 anni";"Quarto Oggiaro - Vialba - Musocco (76)";1437
"6-10 anni";"Bovisa (77)";597
"6-10 anni";"Farini (78)";134
"6-10 anni";"Dergano (79)";999
"6-10 anni";"Affori (80)";1179
"6-10 anni";"Bovisasca (81)";280
"6-10 anni";"Comasina (82)";492
"6-10 anni";"Bruzzano (83)";622
"6-10 anni";"Parco Nord (84)";4
"6-10 anni";"Parco delle Abbazie (85)";43
"6-10 anni";"Parco dei Navigli (86)";19
"6-10 anni";"Assiano (87)";10
"6-10 anni";"Parco Bosco in citta' (88)";45
"11-13 anni";"Duomo (1)";484
"11-13 anni";"Brera (2)";465
"11-13 anni";"Giardini P.ta Venezia (3)";2
"11-13 anni";"Guastalla (4)";427
"11-13 anni";"Porta Vigentina - Porta Lodovica (5)";397
"11-13 anni";"Porta Ticinese - Conca del Naviglio (6)";450
"11-13 anni";"Magenta - S.Vittore (7)";565
"11-13 anni";"Porta Garibaldi - Porta Nuova (9)";127
"11-13 anni";"Stazione Centrale - Ponte Seveso (10)";412
"11-13 anni";"Isola (11)";524
"11-13 anni";"Maciachini - Maggiolina (12)";631
"11-13 anni";"Greco - Segnano (13)";435
"11-13 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";948
"11-13 anni";"Bicocca (15)";238
"11-13 anni";"Gorla - Precotto (16)";754
"11-13 anni";"Adriano (17)";554
"11-13 anni";"Cimiano - Rottole - Q.re Feltre (18)";480
"11-13 anni";"Padova - Turro - Crescenzago (19)";958
"11-13 anni";"Loreto - Casoretto - NoLo (20)";980
"11-13 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1564
"11-13 anni";"Citta' studi (22)";812
"11-13 anni";"Lambrate - Ortica (23)";371
"11-13 anni";"Parco Forlanini - Cavriano (24)";31
"11-13 anni";"Corsica (25)";489
"11-13 anni";"XXII Marzo (26)";801
"11-13 anni";"Pta Romana (27)";369
"11-13 anni";"Umbria - Molise - Calvairate (28)";547
