Età (classi funzionali),NIL (Nuclei di Identità Locale),Residenti,num,nil_distro
15-24 anni,TALIEDO - MORSENCHIO - Q.RE FORLANINI,1903,30,0.013860664991441786
15-24 anni,TIBALDI,930,43,0.006773735387304709
15-24 anni,TRE TORRI,304,59,0.002214210277140464
15-24 anni,TRENNO,391,64,0.0028478822972431627
15-24 anni,TRIULZO SUPERIORE,172,32,0.001252776867329473
15-24 anni,UMBRIA - MOLISE - CALVAIRATE,1988,28,0.01447976983866856
15-24 anni,VIGENTINO - Q.RE FATIMA,1430,38,0.010415528606285735
15-24 anni,VILLAPIZZONE - CAGNOLA - BOLDINASCO,4103,71,0.0298845551549583
15-24 anni,XXII MARZO,3023,26,0.022018281801959284
25-44 anni,ADRIANO,5227,17,0.014236222702785146
25-44 anni,AFFORI,7398,80,0.02014914397459432
25-44 anni,ASSIANO,46,87,0.00012528529640866973
25-44 anni,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,6610,55,0.018002952375245806
25-44 anni,BANDE NERE,11121,52,0.030289082203496003
25-44 anni,BARONA,3401,46,0.009262941154040995
25-44 anni,BICOCCA,2646,15,0.007206628136898699
25-44 anni,BOVISA,4624,77,0.012593895882471498
25-44 anni,BOVISASCA,1644,81,0.004477587549909849
25-44 anni,BRERA,4250,2,0.011575271950801009
25-44 anni,BRUZZANO,3064,83,0.008345090178177481
25-44 anni,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,16722,21,0.04554392883795164
25-44 anni,CANTALUPA,149,47,0.0004058154166280824
25-44 anni,CASCINA MERLATA,413,73,0.0011248440742778391
25-44 anni,CHIARAVALLE,223,34,0.0006073613282420294
25-44 anni,CIMIANO - ROTTOLE - Q.RE FELTRE,4815,18,0.013114102221907497
25-44 anni,CITTA' STUDI,10030,22,0.02731764180389038
25-44 anni,COMASINA,2678,82,0.0072937831257047295
25-44 anni,CORSICA,5196,25,0.014151791307379305
25-44 anni,DE ANGELI - MONTE ROSA,5347,58,0.014563053910807764
25-44 anni,DERGANO,7340,79,0.01999117555738339
25-44 anni,DUOMO,4000,1,0.01089437360075389
25-44 anni,FARINI,1212,78,0.003300995201028429
25-44 anni,FIGINO,638,63,0.0017376525893202455
25-44 anni,FORZE ARMATE,5732,56,0.015611637369880325
25-44 anni,GHISOLFA,5026,70,0.013688780429347264
25-44 anni,GIAMBELLINO,7991,49,0.021764234860906086
25-44 anni,GIARDINI P.TA VENEZIA,9,3,2.4512340601696253e-05
25-44 anni,GORLA - PRECOTTO,8490,16,0.023123307967600135
25-44 anni,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,3508,41,0.009554365647861163
25-44 anni,GRECO - SEGNANO,4657,13,0.012683774464677717
25-44 anni,GUASTALLA,3509,4,0.00955708924126135
25-44 anni,ISOLA,7088,11,0.019304830020535894
25-44 anni,LAMBRATE - ORTICA,3698,23,0.010071848393896972
25-44 anni,LODI - CORVETTO,9639,35,0.026252716784416687
25-44 anni,LORENTEGGIO,3420,53,0.009314689428644576
25-44 anni,LORETO - CASORETTO - NOLO,14659,20,0.03992515565336282
25-44 anni,MACIACHINI - MAGGIOLINA,6926,12,0.018863607889705362
25-44 anni,MAGENTA - S.VITTORE,4190,7,0.0114118563467897
25-44 anni,MAGGIORE - MUSOCCO - CERTOSA,2656,72,0.007233864070900584
25-44 anni,MONCUCCO - SAN CRISTOFORO,3929,45,0.010700998469340509
25-44 anni,MONLUE' - PONTE LAMBRO,1531,31,0.004169821495688552
25-44 anni,MORIVIONE,2034,37,0.0055397889759833535
25-44 anni,MUGGIANO,659,54,0.0017948480507242034
25-44 anni,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,8368,14,0.02279102957277714
25-44 anni,ORTOMERCATO,1273,29,0.0034671343984399258
25-44 anni,PADOVA - TURRO - CRESCENZAGO,10866,19,0.029594565886447943
25-44 anni,PAGANO,3729,68,0.010156279789302815
25-44 anni,PARCO BOSCO IN CITTA',175,88,0.0004766288450329827
25-44 anni,PARCO FORLANINI - CAVRIANO,1116,24,0.0030395302346103354
25-44 anni,PARCO NORD,29,84,7.898420860546571e-05
25-44 anni,PARCO DEI NAVIGLI,109,86,0.0002968716806205435
25-44 anni,PARCO DELLE ABBAZIE,115,85,0.00031321324102167436
25-44 anni,PORTA GARIBALDI - PORTA NUOVA,1836,9,0.005000517482746036
25-44 anni,PORTA GENOVA,3816,50,0.010393232415119212
25-44 anni,PORTA MAGENTA,6187,51,0.016850872366966082
25-44 anni,PORTA TICINESE - CONCA DEL NAVIGLIO,5921,6,0.01612639652251595
25-44 anni,PORTA TICINESE - CONCHETTA,5497,44,0.014971592920836035
25-44 anni,PORTA VIGENTINA - PORTA LODOVICA,3308,5,0.009009646967823467
25-44 anni,PORTELLO,2257,67,0.006147150304225382
25-44 anni,PTA ROMANA,4927,27,0.013419144682728605
25-44 anni,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,6320,65,0.017213110289191147
25-44 anni,QT 8,919,66,0.0025029823347732065
25-44 anni,QUARTO CAGNINO,2030,61,0.0055288946023826
25-44 anni,QUARTO OGGIARO - VIALBA - MUSOCCO,6976,76,0.018999787559714786
25-44 anni,QUINTO ROMANO,910,62,0.00247846999417151
25-44 anni,QUINTOSOLE,282,39,0.0007680533388531493
25-44 anni,ROGOREDO - SANTA GIULIA,3231,33,0.008799930276008954
25-44 anni,RONCHETTO DELLE RANE,139,40,0.0003785794826261977
25-44 anni,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,3348,48,0.009118590703831007
25-44 anni,ROSERIO,66,74,0.00017975716441243918
25-44 anni,SAN SIRO,7103,57,0.019345683921538723
25-44 anni,SARPI,8724,69,0.023760628823244236
25-44 anni,SCALO ROMANA,3897,36,0.010613843480534478
25-44 anni,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,7695,42,0.020958051214450296
25-44 anni,STADIO - IPPODROMI,2719,60,0.007405450455112457
25-44 anni,STAZIONE CENTRALE - PONTE SEVESO,5925,10,0.0161372908961167
25-44 anni,STEPHENSON,51,75,0.0001389032634096121
25-44 anni,TALIEDO - MORSENCHIO - Q.RE FORLANINI,4541,30,0.012367837630255854
25-44 anni,TIBALDI,3506,43,0.009548918461060785
25-44 anni,TRE TORRI,490,59,0.0013345607660923517
25-44 anni,TRENNO,749,64,0.002039971456741166
25-44 anni,TRIULZO SUPERIORE,561,32,0.0015279358975057332
25-44 anni,UMBRIA - MOLISE - CALVAIRATE,6379,28,0.017373802299802267
25-44 anni,VIGENTINO - Q.RE FATIMA,3818,38,0.010398679601919588
25-44 anni,VILLAPIZZONE - CAGNOLA - BOLDINASCO,11355,71,0.030926403059140108
25-44 anni,XXII MARZO,7754,26,0.021118743225061416
45-64 anni,ADRIANO,5320,17,0.012881636645834898
45-64 anni,AFFORI,7579,80,0.01835148949977118
45-64 anni,ASSIANO,71,87,0.00017191657929591686
45-64 anni,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9067,55,0.021954473584170114
45-64 anni,BANDE NERE,12901,52,0.031237968866149626
45-64 anni,BARONA,4502,46,0.010900963943524192
45-64 anni,BICOCCA,2454,15,0.005942018106932112
45-64 anni,BOVISA,3987,77,0.009653963403560853
45-64 anni,BOVISASCA,2067,81,0.0050049516817557765
45-64 anni,BRERA,5800,2,0.014043889576286167
45-64 anni,BRUZZANO,3615,83,0.008753217382461119
45-64 anni,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,18432,21,0.044630512529328724
45-64 anni,CANTALUPA,187,47,0.0004527943708216402
45-64 anni,CASCINA MERLATA,420,73,0.0010169713141448603
45-64 anni,CHIARAVALLE,331,34,0.0008014702499570209
45-64 anni,CIMIANO - ROTTOLE - Q.RE FELTRE,5543,18,0.013421599986440382
45-64 anni,CITTA' STUDI,10332,22,0.025017494327963564
45-64 anni,COMASINA,2728,82,0.006605470821398045
45-64 anni,CORSICA,5768,25,0.013966406047589414
45-64 anni,DE ANGELI - MONTE ROSA,6483,58,0.01569767864190745
45-64 anni,DERGANO,7040,79,0.017046376313285278
45-64 anni,DUOMO,5173,1,0.012525696685884196
45-64 anni,FARINI,1191,78,0.002883840083682211
45-64 anni,FIGINO,703,63,0.0017022162710567542
45-64 anni,FORZE ARMATE,7358,56,0.017816368879709242
45-64 anni,GHISOLFA,5486,70,0.013283582450949294
45-64 anni,GIAMBELLINO,9433,49,0.02284069144363921
45-64 anni,GIARDINI P.TA VENEZIA,17,3,4.1163124620149106e-05
45-64 anni,GORLA - PRECOTTO,8582,16,0.020780113852359977
45-64 anni,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,5507,41,0.013334431016656538
45-64 anni,GRECO - SEGNANO,4752,13,0.011506304011467561
45-64 anni,GUASTALLA,4707,4,0.011397342799237755
45-64 anni,ISOLA,6770,11,0.016392609039906438
45-64 anni,LAMBRATE - ORTICA,3525,23,0.008535294958001507
45-64 anni,LODI - CORVETTO,10690,35,0.02588434130525847
45-64 anni,LORENTEGGIO,4150,53,0.01004864512785993
45-64 anni,LORETO - CASORETTO - NOLO,13099,20,0.03171739819996077
